Position,Name,Team,Salary,Projected
Fanduel,,,,
"D","Kansas City Chiefs","KC",5100,11.13
"K","Chris Boswell","PIT",4600,10.5
"QB","Geno Smith","NYJ",6400,21.0
"RB","Devonta Freeman","ATL",8100,18.66
"RB","Arian Foster","MIA",6500,16.5
"TE","Delanie Walker","TEN",6500,13.16
"WR","DeAndre Hopkins","HOU",8400,17.23
"WR","Brandon Marshall","NYJ",7700,17.79
"WR","Steve Smith Sr.","BAL",6700,15.43
"","","","",141.4
Owned 50/50,,,,
"D","Philadelphia Eagles","PHI",4800,14.0
"K","Nick Folk","NYJ",4500,0.0
"QB","Dak Prescott","DAL",5000,66.0
"RB","DeAngelo Williams","PIT",7100,42.0
"RB","Spencer Ware","KC",5400,79.0
"TE","Jordan Reed","WAS",7400,40.0
"WR","Antonio Brown","PIT",9300,49.0
"WR","Julio Jones","ATL",9000,51.0
"WR","Amari Cooper","OAK",7100,28.0
"","","","",369.0
Owned GPP,,,,
"D","Philadelphia Eagles","PHI",4800,14.0
"K","Nick Folk","NYJ",4500,0.0
"QB","Dak Prescott","DAL",5000,39.0
"RB","DeAngelo Williams","PIT",7100,35.0
"RB","Spencer Ware","KC",5400,52.0
"TE","Jordan Reed","WAS",7400,28.0
"WR","Antonio Brown","PIT",9300,34.0
"WR","Julio Jones","ATL",9000,26.0
"WR","Amari Cooper","OAK",7100,23.0
"","","","",251.0
Owned Combined,,,,
"D","Philadelphia Eagles","PHI",4800,14.0
"K","Nick Folk","NYJ",4500,0.0
"QB","Dak Prescott","DAL",5000,52.5
"RB","DeAngelo Williams","PIT",7100,38.5
"RB","Spencer Ware","KC",5400,65.5
"TE","Jordan Reed","WAS",7400,34.0
"WR","Antonio Brown","PIT",9300,41.5
"WR","Julio Jones","ATL",9000,38.5
"WR","Amari Cooper","OAK",7100,25.5
"","","","",310.0
Formula 7,,,,
"D","Seattle Seahawks","SEA",5000,86.3
"K","Steven Hauschka","SEA",4800,81.2
"QB","Russell Wilson","SEA",8500,108.2
"RB","Lamar Miller","HOU",7600,111.95
"RB","DeAngelo Williams","PIT",7100,96.0
"TE","Brandon Williams","SEA",4500,80.2
"WR","Antonio Brown","PIT",9300,109.0
"WR","Doug Baldwin","SEA",6700,86.2
"WR","Tyler Lockett","SEA",6200,85.2
"","","","",844.2500000000001
Formula 8,,,,
"D","Minnesota Vikings","MIN",4600,256.214
"K","Chris Boswell","PIT",4600,309.20735
"QB","Russell Wilson","SEA",8500,705.59545
"RB","Lamar Miller","HOU",7600,532.5237
"RB","Charles Sims","TB",4700,282.65855
"TE","David Johnson","PIT",4500,539.44795
"WR","Antonio Brown","PIT",9300,680.61715
"WR","Julio Jones","ATL",9000,596.7311
"WR","Amari Cooper","OAK",7100,445.60625
"","","","",4348.6015
Formula 5,,,,
"D","Minnesota Vikings","MIN",4600,153.823
"K","Chris Boswell","PIT",4600,114.8926
"QB","Russell Wilson","SEA",8500,274.0946
"RB","Lamar Miller","HOU",7600,211.8093
"RB","Charles Sims","TB",4700,111.6536
"TE","David Johnson","PIT",4500,203.6523
"WR","Antonio Brown","PIT",9300,270.5063
"WR","Julio Jones","ATL",9000,245.6738
"WR","Amari Cooper","OAK",7100,182.9889
"","","","",1769.0944000000002
Formula 6,,,,
"D","Kansas City Chiefs","KC",5100,21.9597
"K","Robbie Gould","CHI",4500,20.682
"QB","Matthew Stafford","DET",7400,42.0272
"RB","Lamar Miller","HOU",7600,39.2872
"RB","Spencer Ware","KC",5400,29.0609
"TE","David Johnson","PIT",4500,33.322
"WR","Antonio Brown","PIT",9300,48.8311
"WR","Julio Jones","ATL",9000,43.9762
"WR","Amari Cooper","OAK",7100,32.4307
"","","","",311.577
Formula 9,,,,
"D","Jacksonville Jaguars","JAC",4100,69.0952
"K","Stephen Gostkowski","NE",5000,609.6697
"QB","Blake Bortles","JAC",8400,672778.3839
"RB","Devonta Freeman","ATL",8100,32458.8147
"RB","Mark Ingram","NO",7300,7539.8415
"TE","David Johnson","PIT",4500,4369.1462
"WR","Antonio Brown","PIT",9300,6112.4125
"WR","Allen Robinson","JAC",8500,4398.7244
"WR","Tajae Sharpe","TEN",4800,51.9456
"","","","",728388.0336999998
FFA Points,,,,
"D","Minnesota Vikings","MIN",4600,132.9538
"K","Chris Boswell","PIT",4600,146.1234
"QB","Russell Wilson","SEA",8500,328.1594
"RB","Lamar Miller","HOU",7600,232.0124
"RB","LeSean McCoy","BUF",6900,211.5218
"TE","David Johnson","PIT",4500,251.5531
"WR","Antonio Brown","PIT",9300,304.625
"WR","Keenan Allen","SD",7400,221.8196
"WR","Jarvis Landry","MIA",6600,201.4636
"","","","",2030.2321000000002
FFA Ceiling,,,,
"D","Washington Redskins","WAS",4200,124.1545
"K","Stephen Gostkowski","NE",5000,162.9411
"QB","Russell Wilson","SEA",8500,344.5321
"RB","Lamar Miller","HOU",7600,248.8226
"RB","LeSean McCoy","BUF",6900,229.9866
"TE","David Johnson","PIT",4500,268.1797
"WR","Antonio Brown","PIT",9300,321.6232
"WR","Keenan Allen","SD",7400,241.414
"WR","Jarvis Landry","MIA",6600,215.37
"","","","",2157.0238
FFA Floor,,,,
"D","Jacksonville Jaguars","JAC",4100,104.4
"K","Stephen Gostkowski","NE",5000,141.0916
"QB","Philip Rivers","SD",7300,267.4005
"RB","Adrian Peterson","MIN",8200,223.0
"RB","Lamar Miller","HOU",7600,218.3
"TE","David Johnson","PIT",4500,225.61
"WR","Antonio Brown","PIT",9300,284.3611
"WR","Keenan Allen","SD",7400,203.2
"WR","Jarvis Landry","MIA",6600,190.4
"","","","",1857.7632
FFA Points/Ceiling Avg,,,,
"D","Minnesota Vikings","MIN",4600,129.5871
"K","Chris Boswell","PIT",4600,149.75085
"QB","Russell Wilson","SEA",8500,336.34575
"RB","Lamar Miller","HOU",7600,240.4175
"RB","LeSean McCoy","BUF",6900,220.7542
"TE","David Johnson","PIT",4500,259.8664
"WR","Antonio Brown","PIT",9300,313.1241
"WR","Keenan Allen","SD",7400,231.6168
"WR","Jarvis Landry","MIA",6600,208.4168
"","","","",2089.8795000000005
FFA Points/Floor Avg,,,,
"D","Minnesota Vikings","MIN",4600,120.3769
"K","Chris Boswell","PIT",4600,139.9565
"QB","Russell Wilson","SEA",8500,315.0497
"RB","Lamar Miller","HOU",7600,225.1562
"RB","LeSean McCoy","BUF",6900,199.7609
"TE","David Johnson","PIT",4500,238.5816
"WR","Antonio Brown","PIT",9300,294.4931
"WR","Keenan Allen","SD",7400,212.5098
"WR","Jarvis Landry","MIA",6600,195.9318
"","","","",1941.8165000000004
FFA Ceiling/Floor Avg,,,,
"D","Jacksonville Jaguars","JAC",4100,111.7828
"K","Stephen Gostkowski","NE",5000,152.0164
"QB","Russell Wilson","SEA",8500,323.2361
"RB","Lamar Miller","HOU",7600,233.5613
"RB","LeSean McCoy","BUF",6900,208.9933
"TE","David Johnson","PIT",4500,246.8949
"WR","Antonio Brown","PIT",9300,302.9922
"WR","Keenan Allen","SD",7400,222.307
"WR","Jarvis Landry","MIA",6600,202.885
"","","","",2004.6689999999999
FantasyPros,,,,
"D","Arizona Cardinals","ARI",5000,140.5551
"K","Nick Novak","HOU",4500,8.3
"QB","Dak Prescott","DAL",5000,16.1
"RB","Lamar Miller","HOU",7600,14.6
"RB","DeAngelo Williams","PIT",7100,14.5
"TE","Coby Fleener","NO",5400,7.1
"WR","Antonio Brown","PIT",9300,15.7
"WR","Julio Jones","ATL",9000,15.1
"WR","Amari Cooper","OAK",7100,11.6
"","","","",243.55509999999998
FantasyLabs4,,,,
"D","Washington Redskins","WAS",4200,5.4
"K","Justin Tucker","BAL",4900,11.4
"QB","Dak Prescott","DAL",5000,18.9
"RB","Lamar Miller","HOU",7600,15.3
"RB","DeAngelo Williams","PIT",7100,15.7
"TE","David Johnson","PIT",4500,16.0
"WR","Antonio Brown","PIT",9300,20.1
"WR","Julio Jones","ATL",9000,18.8
"WR","DeAndre Hopkins","HOU",8400,16.1
"","","","",137.70000000000002
Rotogrinders,,,,
"D","Seattle Seahawks","SEA",5000,7.2
"K","Justin Tucker","BAL",4900,11.4
"QB","Aaron Rodgers","GB",9000,875.53
"RB","Adrian Peterson","MIN",8200,101.86
"RB","Devonta Freeman","ATL",8100,79.13
"TE","David Johnson","PIT",4500,16.63
"WR","Jordy Nelson","GB",8400,23.69
"WR","Greg Salas","BUF",4600,88.61
"WR","Adam Thielen","MIN",4500,16.7
"","","","",1220.75
Counting,,,,
"D","San Diego Chargers","SD",4100,10.05
"K","Stephen Gostkowski","NE",5000,402.99
"QB","Ben Roethlisberger","PIT",8500,445.78
"RB","Lamar Miller","HOU",7600,838.42
"RB","DeAngelo Williams","PIT",7100,821.63
"TE","Gary Barnidge","CLE",6300,635.42
"WR","Keenan Allen","SD",7400,776.4
"WR","Sammy Watkins","BUF",7300,961.35
"WR","Doug Baldwin","SEA",6700,698.96
"","","","",5591.0
